,# YTID,start_seconds,end_seconds,positive_labels
247,-W5c6CeUMPE,40.0,50.0,/m/0l14j_
695,0Wdh45yt7tY,50.0,60.0,/m/0l14j_
869,0u5-WiBKam8,50.0,60.0,/m/0l14j_
1085,1QSD-dzEv7Y,40.0,50.0,/m/0l14j_
1116,1W2Cz2Jj76Q,30.0,40.0,/m/0l14j_
1329,20QZS9L5WeA,70.0,80.0,/m/0l14j_
1733,2wZCoeq9Ppc,80.0,90.0,/m/0l14j_
2545,4vGLTrW04UE,250.0,260.0,/m/0l14j_
2706,5GRy0IXTebA,100.0,110.0,/m/0l14j_
2736,5MAX6bUSf4s,110.0,120.0,/m/0l14j_
4037,8kH-dzSBthI,250.0,260.0,/m/0l14j_
4105,8tY6nioUQIw,220.0,230.0,/m/0l14j_
4234,9InBmD_Miek,280.0,290.0,/m/0l14j_
4371,9gSOOPDuD4Y,180.0,190.0,/m/0l14j_
4839,Ats8Yb9WrDU,40.0,50.0,/m/0l14j_
6434,Ezodz2aZnzQ,70.0,80.0,/m/0l14j_
6664,FanTFCvjacY,30.0,40.0,/m/0l14j_
6988,GWcTd6XrQj4,380.0,390.0,/m/0l14j_
7457,HpkPTa1fQDE,500.0,510.0,/m/0l14j_
7475,HtXtfCR-MUg,60.0,70.0,/m/0l14j_
8454,KabP9iNokps,30.0,40.0,/m/0l14j_
8487,Ki7Bxz1CThI,70.0,80.0,/m/0l14j_
8521,KnZeEWVHaLc,230.0,240.0,/m/0l14j_
8555,KsFCPOKAH60,90.0,100.0,/m/0l14j_
8964,M10rUOuDLoQ,80.0,90.0,/m/0l14j_
9432,NSyqj1DXZKg,130.0,140.0,/m/0l14j_
9844,Ofry7lyQZDA,90.0,100.0,/m/0l14j_
10052,PKJMsnUJ994,30.0,40.0,/m/0l14j_
10054,PKsdjH0RmsU,30.0,40.0,/m/0l14j_
10668,RDNatVYvpeA,30.0,40.0,/m/0l14j_
10913,S051dpWiaeA,30.0,40.0,/m/0l14j_
11760,UY2_Q830lqo,30.0,40.0,/m/0l14j_
12168,VlXi2TxMXbc,130.0,140.0,/m/0l14j_
13195,YjTz5y8DnWo,30.0,40.0,/m/0l14j_
13704,_5w5TVK5B90,370.0,380.0,/m/0l14j_
13758,_IP6zlayY7k,30.0,40.0,/m/0l14j_
13938,_oNLyxk08oA,30.0,40.0,/m/0l14j_
13992,a-P0p_UtagM,30.0,40.0,/m/0l14j_
14825,c_y2hokeXis,150.0,160.0,/m/0l14j_
15106,dUlQepCYXgw,460.0,470.0,/m/0l14j_
15421,eWSA0xubW7I,140.0,150.0,/m/0l14j_
15525,en56uOGTwzg,0.0,10.0,/m/0l14j_
15641,fCqHSy0qflM,80.0,90.0,/m/0l14j_
15705,fPYxUa1ZVAY,30.0,40.0,/m/0l14j_
15862,fvpDYGzdRmo,120.0,130.0,/m/0l14j_
16133,ggNSbi9Ss3s,30.0,40.0,/m/0l14j_
16182,gqkqzqCHM3A,30.0,40.0,/m/0l14j_
16370,hNB0Rgb54uI,70.0,80.0,/m/0l14j_
16876,j1MK2re7goU,30.0,40.0,/m/0l14j_
17877,mBWqKWuqiTE,30.0,40.0,/m/0l14j_
18306,nVSDv46ARvY,70.0,80.0,/m/0l14j_
18314,nXfqAzdu8IY,30.0,40.0,/m/0l14j_
18410,noloT04ZzYY,30.0,40.0,/m/0l14j_
18569,oJSnwGKzxbE,30.0,40.0,/m/0l14j_
19329,qcjzfHmQvxg,20.0,30.0,/m/0l14j_
19628,rVdI-aD9pq8,40.0,50.0,/m/0l14j_
19629,rW5YKFsiWM8,50.0,60.0,/m/0l14j_
20793,vQWXRIAF7rU,30.0,40.0,/m/0l14j_
21011,w7-H5N-0aJQ,0.0,10.0,/m/0l14j_
21361,xMsgBL9Sunw,30.0,40.0,/m/0l14j_
21385,xS_B8XnPvQo,260.0,270.0,/m/0l14j_
21990,zVA66aZOBH4,20.0,30.0,/m/0l14j_
913,11D0JdB7_4k,120.0,130.0,/m/02bxd
1227,1jptuEjuTig,30.0,40.0,/m/02bxd
1337,21MgIcLN8Ow,30.0,40.0,/m/02bxd
1663,2lBZ6yPW9WU,360.0,370.0,/m/02bxd
2343,4T2KBwRxi_g,520.0,530.0,/m/02bxd
2583,5-tx4Fgqetc,30.0,40.0,/m/02bxd
2829,5at69yM1PoU,210.0,220.0,/m/02bxd
2996,5y2M_K3bUcQ,20.0,30.0,/m/02bxd
3045,64auWicQqZY,40.0,50.0,/m/02bxd
3136,6KXd7l5pThg,30.0,40.0,/m/02bxd
3672,7k3M0pQvzhY,200.0,210.0,/m/02bxd
3882,8KIoQ2HZ0Hg,10.0,20.0,/m/02bxd
4662,ATDi-irUEWc,30.0,40.0,/m/02bxd
4951,BBSApRvkaqY,210.0,220.0,/m/02bxd
5194,BiqPn3d_dKM,150.0,160.0,/m/02bxd
5490,CSzMTqkLHyg,60.0,70.0,/m/02bxd
5512,CVgLrsBPt4o,140.0,150.0,/m/02bxd
5878,DTnCrtCro44,30.0,40.0,/m/02bxd
5892,DW3z-ByrfWY,380.0,390.0,/m/02bxd
6038,Dx58W7opw5A,0.0,10.0,/m/02bxd
6865,GBMlv6j0WJ8,100.0,110.0,/m/02bxd
7684,IQxr3xwAbKk,40.0,50.0,/m/02bxd
8261,K6DSH7MSeOA,350.0,360.0,/m/02bxd
8480,KfLxBjl-aBU,0.0,10.0,/m/02bxd
8984,M4SIUPA05yc,90.0,100.0,/m/02bxd
9610,O0y-m0pCi5E,30.0,40.0,/m/02bxd
9781,OTu_vWZV4QA,30.0,40.0,/m/02bxd
9963,P2UqnWU8d8o,30.0,40.0,/m/02bxd
10266,Pw2jHezP10s,410.0,420.0,/m/02bxd
10934,S48GsFznk50,110.0,120.0,/m/02bxd
11558,U0sjbOT6hY4,30.0,40.0,/m/02bxd
12001,VCozi4GDpxQ,20.0,30.0,/m/02bxd
12110,VZjE27e9X7o,10.0,20.0,/m/02bxd
12818,XfLI8gHCuFE,90.0,100.0,/m/02bxd
13084,YODoF8e7Jlk,170.0,180.0,/m/02bxd
13298,YyYEzAY2e2I,30.0,40.0,/m/02bxd
13976,_xC7IXGWlk4,170.0,180.0,/m/02bxd
14275,argBwTHDDVI,370.0,380.0,/m/02bxd
14435,bPYbRSI16IY,0.0,10.0,/m/02bxd
14828,caFMauLQvd4,160.0,170.0,/m/02bxd
15123,dYVy7moyQCc,30.0,40.0,/m/02bxd
15680,fKqyQWuqWMk,260.0,270.0,/m/02bxd
16350,hIEj8msjg8E,30.0,40.0,/m/02bxd
16682,iQAXwX28LLw,0.0,10.0,/m/02bxd
16845,ivymRS3iEZk,450.0,460.0,/m/02bxd
17067,jbyVJdDlo2Q,40.0,50.0,/m/02bxd
17657,lUp9WnLYetg,30.0,40.0,/m/02bxd
17934,mObWGwbKQIQ,90.0,100.0,/m/02bxd
18361,ng9Dpk4qiP4,30.0,40.0,/m/02bxd
18649,oa1QRoiiT0E,20.0,30.0,/m/02bxd
19107,pte5jvRKwsA,60.0,70.0,/m/02bxd
19172,q7U8p-m8J3s,30.0,40.0,/m/02bxd
19269,qRLRLp-KTFs,30.0,40.0,/m/02bxd
19339,qfVIeq7s6tw,460.0,470.0,/m/02bxd
20379,u3n2OcpEC48,100.0,110.0,/m/02bxd
20886,vispMqNJ1j8,120.0,130.0,/m/02bxd
21314,xCLzxuZE3yg,30.0,40.0,/m/02bxd
21387,xSmmTveNPSM,20.0,30.0,/m/02bxd
21708,yWU0zNEy2_I,90.0,100.0,/m/02bxd
22057,zgMqFiZYY2A,550.0,560.0,/m/02bxd
